url,ISBN : ISBN13,DATE : DATE,STRING : PUBLISHER,STRING : AUTHOR,STRING : BINDING,STRING : TITLE
book/www.amazon.com/0001049305.html,978-0001049307,"October 23, 1995","Harpercollins Audio; Abridged edition (October 23, 1995)",Eric Newby,Audio Cassette,Love and War in the Apennines
book/www.amazon.com/0001049313.html,978-0001049314,"October 23, 1995","Harpercollins Audio; Abridged edition (October 23, 1995)",Eric Newby,Audio Cassette,Short Walk in the Hindu Kush
book/www.amazon.com/0001049321.html,978-0001049321,"August 21, 1995","Harper Collins Audio (August 21, 1995)",William Wordsworth,Audio Cassette,Poetry of Wordsworth
book/www.amazon.com/0001049356.html,978-0001049352,January 2000,Harpercollins Pub Ltd; Abridged edition (January 2000),Harriet Beecher Stowe,Reading level:,Uncle Tom's Cabin
book/www.amazon.com/0001049410.html,978-0001049413,"July 24, 1995","Harper Collins Audio; Abridged edition (July 24, 1995)",Elizabeth Buchan,Audio Cassette,Consider the Lily
book/www.amazon.com/0001049429.html,978-0001049420,October 1995,Harpercollins Audio; Abridged edition (October 1995),Nigel Mansell,Hardcover,Nigel Mansell
book/www.amazon.com/0001049682.html,978-0001049680,"April 22, 1996","Harpercollins Audio; Abridged edition (April 22, 1996)",Barbara Erskine,Audio Cassette,House of Echoes
book/www.amazon.com/0001049690.html,978-0001049697,"September 1, 1995","HarperCollins UK; Abridged edition (September 1, 1995)",Joseph Conrad,Audio Cassette,Victory (HarperCollinsAudioBooks)
book/www.amazon.com/0001049852.html,978-0001049857,,,Robert Ludlum,Audio Cassette,Apocalypse Watch
book/www.amazon.com/0001049895.html,978-0001049895,December 1995,Harpercollins Audio; Abridged edition (December 1995),Charles Grant,Hardcover,X-Files: Ground Zero
book/www.amazon.com/0001050044.html,978-0001050044,December 1995,Harpercollins Audio; Abridged edition (December 1995),Fay Weldon,Audio Cassette,Wicked Women
book/www.amazon.com/0001050052.html,978-0001050051,,HarperCollins (1995),Ruth Rendell~George Baker,Audio Cassette,A New Lease of Death
book/www.amazon.com/0001050060.html,978-0001050068,"December 4, 1995","Harpercollins Audio; Abridged edition (December 4, 1995)",Bernard Cornwell,Audio Cassette,Rebel (Starbuck Chronicles)
book/www.amazon.com/0001050079.html,978-0001050075,"December 4, 1995","Harpercollins Audio; Abridged edition (December 4, 1995)",Bernard Cornwell,Audio Cassette,Copperhead (Starbuck Chronicles)
book/www.amazon.com/0001050087.html,978-0001050082,"January 22, 1996","Harpercollins Audio; Abridged edition (January 22, 1996)",Bernard Cornwell,Hardcover,Battle Flag (Starbuck Chronicles)
book/www.amazon.com/0001050095.html,978-0001050099,"April 22, 1996","Harpercollins Audio; Abridged edition (April 22, 1996)",Ruth Rendell,Audio Cassette,Murder Being Once Done
book/www.amazon.com/0001050109.html,978-0001050105,,HarperCollins AudioBooks (1996),Ruth Rendell,Audio Cassette,Shake Hands for Ever
book/www.amazon.com/0001050117.html,978-0001050112,,HarperCollins AudioBooks (1996),Ruth Rendell,Audio Cassette,Vanity Dies Hard
book/www.amazon.com/0001050133.html,978-0001050136,,,these sellers,Audio Cassette,The Tree of Hands
book/www.amazon.com/0001050184.html,978-0001050181,January 2000,Trafalgar Square Computer & Audio; Abridged edition (January 2000),Jeffrey Archer,Audio Cassette,"Not a Penny More, Not a Penny Less"
book/www.amazon.com/0001050192.html,978-0001050198,January 2000,Trafalgar Square Computer & Audio; Abridged edition (January 2000),Jeffrey Archer,Audio Cassette,Shall We Tell the President?: 6 Days and 13 Hours to Go Before
book/www.amazon.com/0001050206.html,978-0001050204,January 2000,Trafalgar Square Computer & Audio; Unabridged edition (January 2000),Jeffrey Archer,Audio Cassette,A Twist in the Tale: A Perfect Murder and Other Stories (v. 1)
book/www.amazon.com/0001050214.html,978-0001050211,January 2000,Trafalgar Square Computer & Audio; Unabridged edition (January 2000),Jeffrey Archer,Audio Cassette,A Twist in the Tale: The Loophole and Other Stories
book/www.amazon.com/0001050230.html,978-0001050235,February 1996,Harper Collins Audio; Unabridged edition (February 1996),William Shakespeare,Audio Cassette,Love's Labour's Lost
book/www.amazon.com/0001050249.html,978-0001050242,April 1996,Harper Collins Audio; Unabridged edition (April 1996),William Shakespeare,Hardcover,Two Gentlemen of Verona
book/www.amazon.com/0001050427.html,978-0001050426,,HarperCollins (1996),Robert Goddard,Audio Cassette,Out of the Sun
