url,STRING : nationality,STRING : position,STRING : birthplace,STRING : national_team
soccer/www.worldfootballers.com/alvaro-recoba-100.html,,Forward,"Montevideo, Uruguay",Uruguay
soccer/www.worldfootballers.com/antoine-sibierski-508.html,,Midfield,"Lille, France",France
soccer/www.worldfootballers.com/benito-carbone-826.html,,Midfield,"Bagnara Calabra, Italy",Italy
soccer/www.worldfootballers.com/bernardo-corradi-933.html,,Forward,"Siena, Italy",Italy
soccer/www.worldfootballers.com/bruno-berner-898.html,,Midfield,"Zurich, Switzerland",Switzerland
soccer/www.worldfootballers.com/celestine-babayaro-28.html,,Defender,"Kaduna, Nigeria",Nigeria
soccer/www.worldfootballers.com/christian-panucci-324.html,,Defender,"Savona, Italy",Italy
soccer/www.worldfootballers.com/cristiano-zanetti-113.html,,Midfield,"Carrara, Italy",Italy
soccer/www.worldfootballers.com/daniel-van-buyten-240.html,,Defender,"Chimay, Belgium",Belgium
soccer/www.worldfootballers.com/darren-anderton-399.html,,Midfield,"Southampton, England",England
soccer/www.worldfootballers.com/demetrio-albertini-613.html,,Midfield,"Besana, Italy",Italy
soccer/www.worldfootballers.com/dennis-rommedahl-879.html,,Forward,"Copenhagen, Denmark",Denmark
soccer/www.worldfootballers.com/diego-placente-640.html,,Defender,"Capital Federal, Argentina",Argentina
soccer/www.worldfootballers.com/diego-tristan-228.html,,Forward,"Sevilla, Spain",Spain
soccer/www.worldfootballers.com/dietmar-hamann-48.html,,Midfield,"Waldasson, Bavaria",Germany
soccer/www.worldfootballers.com/ebbe-sand-880.html,,Forward,Denmark,Denmark
soccer/www.worldfootballers.com/erik-edman-892.html,,Defender,Sweden,Sweden
soccer/www.worldfootballers.com/fernando-redondo-289.html,,Midfield,"Buenos Aires, Argentina",Argentina
soccer/www.worldfootballers.com/franck-queudrue-431.html,,Defender,"Paris, France",France
soccer/www.worldfootballers.com/hermann-hreidarsson-482.html,,Defender,"Reykjavik, Iceland",Iceland
soccer/www.worldfootballers.com/ian-harte-124.html,,Defender,"Drogheda, Ireland",Ireland
soccer/www.worldfootballers.com/ivan-helguera-66.html,,Defender,"Santander, Spain",Spain
soccer/www.worldfootballers.com/ivica-olic-856.html,,Forward,Davor,Croatia
soccer/www.worldfootballers.com/jamie-redknapp-403.html,,Midfield,"Barton-on-Sea, England",England
soccer/www.worldfootballers.com/jari-litmanen-269.html,,Midfield,"Lahti, Finland",Finland
soccer/www.worldfootballers.com/jesper-gronkjaer-38.html,,Midfield,"Nuuk, Denmark",Denmark
soccer/www.worldfootballers.com/jimmy-floyd-hasselbaink-41.html,,Forward,"Paramaribo,Surinam",Netherlands
soccer/www.worldfootballers.com/john-hartson-635.html,,Forward,"Swansea, Wales",Wales
soccer/www.worldfootballers.com/jonathan-zebina-334.html,,Defender,"Paris, France",France
soccer/www.worldfootballers.com/josico-790.html,,Midfield,Albacete,Spain
soccer/www.worldfootballers.com/josip-simunic-863.html,,Defender,Australia,Croatia
soccer/www.worldfootballers.com/juan-sebastian-veron-8.html,,Midfield,Argentina,Argentina
soccer/www.worldfootballers.com/juninho-pernambucano-537.html,,Midfield,Brazil,Brazil
soccer/www.worldfootballers.com/kevin-hofland-945.html,,Defender,"Brunssum, Netherlands",Netherlands
soccer/www.worldfootballers.com/kim-kallstrom-895.html,,Midfield,Sweden,Sweden
soccer/www.worldfootballers.com/lee-carsley-649.html,,Midfield,"Birmingham, England",Ireland
soccer/www.worldfootballers.com/lorik-cana-808.html,,Midfield,Albania,Albania
soccer/www.worldfootballers.com/malkhaz-asatiani-555.html,,Midfield,"Kutaisi, Georgia",Georgia
soccer/www.worldfootballers.com/marat-izmailov-551.html,,Midfield,Russia,Russia
soccer/www.worldfootballers.com/matthew-upson-714.html,,Defender,"Hartismere, England",England
soccer/www.worldfootballers.com/mauro-silva-229.html,,Midfield,"Sao Bernardo do Campo, Brazil",Brazil
soccer/www.worldfootballers.com/michael-reiziger-202.html,,Defender,"Amsteveel, Netherlands",Netherlands
soccer/www.worldfootballers.com/olivier-kapo-598.html,,Forward,"Abidjan, Ivory Coast",France
soccer/www.worldfootballers.com/olof-mellberg-694.html,,Defender,"Gullspang, Sweden",Sweden
soccer/www.worldfootballers.com/paolo-wanchope-496.html,,Forward,Costa Rica,Costa Rica
soccer/www.worldfootballers.com/quinton-fortune-172.html,,Midfield,"Cape Town, South Africa",South Africa
soccer/www.worldfootballers.com/robert-kovac-311.html,,Defender,"Berlin, Germany",Croatia
soccer/www.worldfootballers.com/samuel-kuffour-309.html,,Defender,"Accra, Ghana",Ghana
soccer/www.worldfootballers.com/savo-milosevic-577.html,,Forward,"Bielijna, Serbia and Montenegro",Serbia and Montenegro
soccer/www.worldfootballers.com/stephen-warnock-962.html,,Midfield,Ormskirk,England
soccer/www.worldfootballers.com/stilian-petrov-846.html,,Midfield,,Bulgaria
soccer/www.worldfootballers.com/stipe-pletikosa-855.html,,Goalkeeper,Croatia,Croatia
soccer/www.worldfootballers.com/sylvain-distin-503.html,,Defender,"Bagnolet, France",France
soccer/www.worldfootballers.com/sylvain-wiltord-156.html,,Forward,"Neuilly-sur-Marne, France",France
